Port,TCP,UDP,SCTP,DCCP,
0,Reserved,Reserved,,,
1,Yes,Assigned,,,
2,Assigned,Assigned,,,
3,Assigned,Assigned,,,
5,Assigned,Assigned,,,
7,Yes,Yes,,,
9,Yes,Yes,Yes,Assigned,
9,No,Unofficial,,,
11,Yes,Yes,,,
13,Yes,Yes,,,
15,Unofficial,No,,,
17,Yes,Yes,,,
18,Yes,Yes,,,
19,Yes,Yes,,,
20,Yes,Assigned,Yes,,
21,Yes,Assigned,Yes,,
22,Yes,Assigned,Yes,,
23,Yes,Assigned,,,
25,Yes,Assigned,,,
27,Assigned,Assigned,,,
28,Unofficial,,,,
29,Assigned,Assigned,,,
31,Assigned,Assigned,,,
33,Assigned,Assigned,,,
37,Yes,Yes,,,
38,Assigned,Assigned,,,
39,Assigned,Assigned,,,
41,Assigned,Assigned,,,
42,Assigned,Yes,,,
43,Yes,Assigned,,,
44,Assigned,Assigned,,,
45,Assigned,Assigned,,,
46,Assigned,Assigned,,,
47,Reserved,Reserved,,,
48,Assigned,Assigned,,,
49,Yes,Yes,,,
50,Assigned,Assigned,,,
51,Reserved,Reserved,,,
52,Assigned,Assigned,,,
53,Yes,Yes,,,
54,Assigned,Assigned,,,
55,Assigned,Assigned,,,
56,Assigned,Assigned,,,
58,Assigned,Assigned,,,
61,Reserved,Reserved,,,
62,Assigned,Assigned,,,
63,Assigned,Assigned,,,
64,Assigned,Assigned,,,
65,Assigned,Assigned,,,
66,Assigned,Assigned,,,
67,Assigned,Yes,,,
68,Assigned,Yes,,,
69,Assigned,Yes,,,
70,Yes,Assigned,,,
71-74,Yes,Yes,,,
76,Assigned,Assigned,,,
78,Assigned,Assigned,,,
79,Yes,Assigned,,,
80,Yes,Yes,Yes,,
81,Unofficial,,,,
82,Assigned,Assigned,,,
82,,Unofficial,,,
83,Assigned,Assigned,,,
84,Assigned,Assigned,,,
85,Assigned,Assigned,,,
86,Assigned,Assigned,,,
88,Yes,Yes,,,
89,Assigned,Assigned,,,
90,Assigned,Assigned,,,
90,Unofficial,Unofficial,,,
91,Assigned,Assigned,,,
92,Assigned,Assigned,,,
93,Assigned,Assigned,,,
94,Assigned,Assigned,,,
95,Yes,Assigned,,,
96,Assigned,Assigned,,,
97,Assigned,Assigned,,,
98,Assigned,Assigned,,,
99,Assigned,Assigned,,,
101,Yes,Assigned,,,
102,Yes,Assigned,,,
104,Yes,Yes,,,
105,Yes,Yes,,,
106,Unofficial,No,,,
107,Yes,Yes,,,
108,Yes,Yes,,,
109,Yes,Assigned,,,
110,Yes,Assigned,,,
111,Yes,Yes,,,
113,Yes,No,,,
113,Yes,Assigned,,,
115,Yes,Assigned,,,
117,Yes,Yes,,,
118,Yes,Yes,,,
119,Yes,Assigned,,,
123,Assigned,Yes,,,
126,Yes,Yes,,,
135,Yes,Yes,,,
135,Yes,Yes,,,
137,Yes,Yes,,,
138,Assigned,Yes,,,
139,Yes,Assigned,,,
143,Yes,Assigned,,,
151,Assigned,Assigned,,,
152,Yes,Yes,,,
153,Yes,Yes,,,
156,Yes,Yes,,,
158,Yes,Yes,,,
161,Assigned,Yes,,,
162,Yes,Yes,,,
165,Assigned,Assigned,,,
169,Assigned,Assigned,,,
170,Yes,Yes,,,
177,Yes,Yes,,,
179,Yes,Assigned,Yes,,
180,Assigned,Assigned,,,
194,Yes,Yes,,,
199,Yes,Yes,,,
201,Yes,Yes,,,
209,Yes,Assigned,,,
210,Yes,Yes,,,
213,Yes,Yes,,,
218,Yes,Yes,,,
220,Yes,Yes,,,
225-241,Reserved,Reserved,,,
249-255,Reserved,Reserved,,,
259,Yes,Yes,,,
262,Yes,Yes,,,
264,Yes,Yes,,,
280,Yes,Yes,,,
300,Unofficial,,,,
308,Yes,,,,
311,Yes,Assigned,,,
312,Unofficial,No,,,
318,Yes,Yes,,,
319,,Yes,,,
320,,Yes,,,
323,Yes,,,,
350,Yes,Yes,,,
351,Yes,Yes,,,
356,Yes,Yes,,,
366,Yes,Yes,,,
369,Yes,Yes,,,
370,Yes,Yes,,,
370,,Yes,,,
371,Yes,Yes,,,
376,Yes,Yes,,,
383,Yes,Yes,,,
384,Yes,Yes,,,
387,Yes,Yes,,,
388,Yes,Assigned,,,
389,Yes,Assigned,,,
399,Yes,Yes,,,
401,Yes,Yes,,,
427,Yes,Yes,,,
433,Yes,Yes,,,
434,Yes,Yes,,,
443,Yes,Yes,Yes,,
444,Yes,Yes,,,
445,Yes,Yes,,,
445,Yes,Assigned,,,
464,Yes,Yes,,,
465,Yes,No,,,
465,Yes,No,,,
475,Yes,Yes,,,
476-490,Unofficial,Unofficial,,,
491,Unofficial,,,,
497,Yes,Yes,,,
500,Assigned,Yes,,,
502,Yes,Yes,,,
504,Yes,Yes,,,
510,Yes,Yes,,,
512,Yes,,,,
512,,Yes,,,
513,Yes,,,,
513,,Yes,,,
514,Unofficial,,,,
514,No,Yes,,,
515,Yes,Assigned,,,
517,,Yes,,,
518,,Yes,,,
520,Yes,,,,
520,,Yes,,,
521,,Yes,,,
524,Yes,Yes,,,
525,,Yes,,,
530,Yes,Yes,,,
532,Yes,Assigned,,,
533,,Yes,,,
540,Yes,,,,
542,Yes,Yes,,,
543,Yes,,,,
544,Yes,,,,
546,Yes,Yes,,,
547,Yes,Yes,,,
548,Yes,Assigned,,,
550,Yes,Yes,,,
554,Yes,Yes,,,
556,Yes,,,,
560,,Yes,,,
561,,Yes,,,
563,Yes,Yes,,,
564,Unofficial,,,,
585,No,No,,,
587,Yes,Assigned,,,
591,Yes,,,,
